starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:04 2013	1368660724	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:04 2013	1368660724	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:04 2013	1368660724	1	83	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	83	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	2	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	83	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:04 2013	1368660724	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:04 2013	1368660724	6	77	84	77
Wed May 15 23:32:05 2013	1368660725	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	82	84	82
Wed May 15 23:32:05 2013	1368660725	2	82	84	82
Wed May 15 23:32:05 2013	1368660725	2	82	84	82
Wed May 15 23:32:05 2013	1368660725	2	82	84	82
Wed May 15 23:32:04 2013	1368660724	1	83	84	82
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	82
Wed May 15 23:32:05 2013	1368660725	2	82	84	82
Wed May 15 23:32:05 2013	1368660725	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:05 2013	1368660725	1	83	84	82
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:05 2013	1368660725	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	82
Wed May 15 23:32:05 2013	1368660725	1	83	84	82
Wed May 15 23:32:05 2013	1368660725	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	82
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:04 2013	1368660724	1	83	84	83
Wed May 15 23:32:05 2013	1368660725	1	83	84	83
