starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	76	76	76
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	76	76	75
Wed May 15 23:21:47 2013	1368660107	1	76	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	75	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	75	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	75	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	75	77	75
Wed May 15 23:21:48 2013	1368660108	1	75	77	75
Wed May 15 23:21:48 2013	1368660108	2	75	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	75	77	75
Wed May 15 23:21:48 2013	1368660108	1	75	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	75	77	75
Wed May 15 23:21:47 2013	1368660107	1	75	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	76
Wed May 15 23:21:47 2013	1368660107	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	75
Wed May 15 23:21:47 2013	1368660107	1	76	77	75
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:47 2013	1368660107	1	76	77	76
Wed May 15 23:21:47 2013	1368660107	1	77	77	76
Wed May 15 23:21:47 2013	1368660107	1	77	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	77	76
Wed May 15 23:21:48 2013	1368660108	1	76	78	76
Wed May 15 23:21:48 2013	1368660108	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	76
Wed May 15 23:21:48 2013	1368660108	1	77	78	76
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	76
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	5	73	78	73
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
